timestamp,T_reator_C,F_alimentacao_L_min,C_A0_mol_L,C_A_mol_L
2026-08-01 06:57:00,98.437,17.762,1.976,1.2705
2026-08-01 06:58:00,76.990,24.721,1.667,1.4594
2026-08-01 06:59:00,75.727,29.435,1.984,1.8140
2026-08-01 07:00:00,103.420,27.673,1.822,1.2588
2026-08-01 07:01:00,93.555,19.681,1.044,0.7244
2026-08-01 07:02:00,98.262,26.256,1.004,0.7409
2026-08-01 07:03:00,108.250,11.407,1.021,0.5460
2026-08-01 07:04:00,101.736,21.445,1.452,1.0134
2026-08-01 07:05:00,97.679,28.486,1.623,1.2073
2026-08-01 07:06:00,97.960,17.928,1.481,1.0325
2026-08-01 07:07:00,85.198,29.202,1.677,1.4264
2026-08-01 07:08:00,71.541,14.414,1.450,1.2454
2026-08-01 07:09:00,91.836,12.113,1.043,0.6765
2026-08-01 07:10:00,80.729,20.495,1.226,0.8925
2026-08-01 07:11:00,90.426,28.145,1.993,1.4336
2026-08-01 07:12:00,112.670,16.226,1.346,0.6708
2026-08-01 07:13:00,81.697,26.003,1.325,1.0833
2026-08-01 07:14:00,72.915,13.384,1.153,0.8528
2026-08-01 07:15:00,84.069,24.911,1.987,1.6123
2026-08-01 07:16:00,84.680,21.141,1.230,1.0497
2026-08-01 07:17:00,103.096,13.500,1.647,0.9131
2026-08-01 07:18:00,97.852,24.362,1.042,0.8045
2026-08-01 07:19:00,109.195,24.275,1.066,0.6905
2026-08-01 07:20:00,103.216,20.309,1.717,1.0412
2026-08-01 07:21:00,90.319,14.509,1.635,1.1748
2026-08-01 07:22:00,110.701,12.646,1.680,0.7849
2026-08-01 07:23:00,78.349,29.145,1.231,1.0849
2026-08-01 07:24:00,71.136,23.116,1.985,1.7882
2026-08-01 07:25:00,74.502,26.185,1.558,1.4424
2026-08-01 07:26:00,106.118,23.939,1.970,1.2319
2026-08-01 07:27:00,93.094,26.589,1.164,0.9763
2026-08-01 07:28:00,78.064,13.250,1.405,1.1349
2026-08-01 07:29:00,95.052,19.939,1.336,0.9512
2026-08-01 07:30:00,77.616,23.342,1.755,1.6135
2026-08-01 07:31:00,104.816,12.068,1.748,0.7879
2026-08-01 07:32:00,92.308,12.999,1.487,0.9322
2026-08-01 07:33:00,89.051,22.680,1.016,0.7584
2026-08-01 07:34:00,85.076,27.374,1.175,1.0116
2026-08-01 07:35:00,101.514,23.208,1.050,0.7901
2026-08-01 07:36:00,88.091,10.724,1.847,1.1335
2026-08-01 07:37:00,74.382,29.409,1.290,1.3668
2026-08-01 07:38:00,75.900,12.790,1.118,0.8494
2026-08-01 07:39:00,118.095,14.651,1.354,0.5766
2026-08-01 07:40:00,115.429,29.499,1.077,0.6556
2026-08-01 07:41:00,104.985,25.421,1.979,1.3334
2026-08-01 07:42:00,83.293,28.732,1.315,1.0824
2026-08-01 07:43:00,118.459,26.132,1.933,1.1267
2026-08-01 07:44:00,108.938,23.035,1.683,0.9787
2026-08-01 07:45:00,105.845,15.691,1.566,0.7552
2026-08-01 07:46:00,92.468,16.538,1.475,0.9613
2026-08-01 07:47:00,83.612,28.945,1.687,1.5351
2026-08-01 07:48:00,74.820,27.213,1.686,1.5879
2026-08-01 07:49:00,115.130,17.190,1.011,0.3627
2026-08-01 07:50:00,92.789,17.465,1.908,1.3949
2026-08-01 07:51:00,80.118,15.954,1.368,0.9725
2026-08-01 07:52:00,85.298,16.523,1.353,1.0291
2026-08-01 07:53:00,98.961,27.213,1.407,0.9681
2026-08-01 07:54:00,78.839,10.210,1.685,1.2816
2026-08-01 07:55:00,112.831,18.721,1.376,0.7522
2026-08-01 07:56:00,107.926,28.857,1.374,0.9838
2026-08-01 07:57:00,105.973,20.853,1.063,0.6391
2026-08-01 07:58:00,91.605,19.009,1.417,1.0275
2026-08-01 07:59:00,101.365,16.247,1.149,0.6052
2026-08-01 08:00:00,99.205,11.478,1.856,0.9451
2026-08-01 08:01:00,102.492,14.490,1.335,0.8113
2026-08-01 08:02:00,74.222,11.809,1.961,1.5827
2026-08-01 08:03:00,90.790,12.534,1.685,1.1063
2026-08-01 08:04:00,72.081,13.270,1.756,1.5332
2026-08-01 08:05:00,94.700,16.041,1.948,1.2249
2026-08-01 08:06:00,86.493,10.220,1.239,0.8504
2026-08-01 08:07:00,77.226,29.003,1.567,1.3272
2026-08-01 08:08:00,75.170,12.476,1.041,0.9183
2026-08-01 08:09:00,99.382,17.663,1.101,0.7419
2026-08-01 08:10:00,78.530,27.591,1.367,1.2612
2026-08-01 08:11:00,116.256,12.131,1.683,0.6007
2026-08-01 08:12:00,99.053,19.672,1.832,1.3614
2026-08-01 08:13:00,87.343,26.896,1.256,1.1570
2026-08-01 08:14:00,99.546,21.139,1.749,1.2201
2026-08-01 08:15:00,71.140,14.207,1.224,1.1058
2026-08-01 08:16:00,117.928,24.710,1.006,0.5262
2026-08-01 08:17:00,94.115,23.627,1.054,0.7183
2026-08-01 08:18:00,109.137,17.244,1.586,0.9031
2026-08-01 08:19:00,74.136,10.926,1.497,1.1182
2026-08-01 08:20:00,94.333,10.157,1.270,0.7968
2026-08-01 08:21:00,94.535,26.508,1.007,0.8387
2026-08-01 08:22:00,116.891,16.431,1.568,0.7189
2026-08-01 08:23:00,98.586,12.755,1.818,1.0563
2026-08-01 08:24:00,93.674,20.371,1.069,0.8380
2026-08-01 08:25:00,83.349,28.417,1.736,1.5057
2026-08-01 08:26:00,86.578,10.170,1.635,1.0373
2026-08-01 08:27:00,96.034,11.123,1.479,0.7510
2026-08-01 08:28:00,91.946,18.341,1.048,0.8158
2026-08-01 08:29:00,71.081,23.519,1.924,1.7550
2026-08-01 08:30:00,111.315,19.522,1.477,0.9752
2026-08-01 08:31:00,114.808,27.951,1.400,0.8360
2026-08-01 08:32:00,77.012,10.882,1.861,1.4289
2026-08-01 08:33:00,97.702,16.803,1.846,1.2185
2026-08-01 08:34:00,75.429,17.027,1.727,1.4920
2026-08-01 08:35:00,103.612,16.803,1.829,1.0209
2026-08-01 08:36:00,84.062,19.754,1.124,0.8970
2026-08-01 08:37:00,102.971,25.812,1.761,1.2720
2026-08-01 08:38:00,106.350,16.358,1.328,0.7172
2026-08-01 08:39:00,108.432,24.890,1.867,1.2335
2026-08-01 08:40:00,75.387,12.929,1.370,1.1036
2026-08-01 08:41:00,115.801,21.214,1.054,0.5765
2026-08-01 08:42:00,81.511,17.502,1.414,1.2033
2026-08-01 08:43:00,71.871,20.784,1.757,1.5417
2026-08-01 08:44:00,97.743,12.155,1.501,0.7721
2026-08-01 08:45:00,88.546,29.069,1.764,1.4455
2026-08-01 08:46:00,111.489,28.124,1.035,0.6073
2026-08-01 08:47:00,110.413,26.528,1.177,0.6153
2026-08-01 08:48:00,85.857,27.856,1.564,1.3070
2026-08-01 08:49:00,117.645,12.934,1.385,0.5442
2026-08-01 08:50:00,84.546,20.074,1.680,1.4069
2026-08-01 08:51:00,95.753,16.358,1.963,1.2326
2026-08-01 08:52:00,82.798,27.748,1.660,1.4293
2026-08-01 08:53:00,116.802,13.789,1.417,0.6452
2026-08-01 08:54:00,78.230,14.399,1.542,1.1933
2026-08-01 08:55:00,72.246,23.734,1.913,1.7469
2026-08-01 08:56:00,91.755,11.778,1.673,1.1476
2026-08-01 08:57:00,119.619,24.647,1.803,0.8329
2026-08-01 08:58:00,114.584,15.363,1.302,0.6093
2026-08-01 08:59:00,107.430,23.219,1.744,1.1663
2026-08-01 09:00:00,114.540,27.461,1.139,0.6623
2026-08-01 09:01:00,114.672,22.192,1.750,1.0392
2026-08-01 09:02:00,95.943,14.254,1.882,1.2226
2026-08-01 09:03:00,85.796,10.983,1.900,1.3885
2026-08-01 09:04:00,108.601,10.892,1.117,0.5159
2026-08-01 09:05:00,103.083,11.776,1.830,1.0398
2026-08-01 09:06:00,88.683,21.596,1.110,0.8851
2026-08-01 09:07:00,74.723,16.964,1.478,1.1676
2026-08-01 09:08:00,107.339,14.862,1.683,0.8387
2026-08-01 09:09:00,83.123,14.386,1.484,1.1818
2026-08-01 09:10:00,116.841,28.972,1.340,0.8513
2026-08-01 09:11:00,82.049,12.376,1.684,1.2210
2026-08-01 09:12:00,76.138,16.096,1.661,1.4844
2026-08-01 09:13:00,111.556,19.430,1.583,0.8407
2026-08-01 09:14:00,77.664,10.009,1.528,1.1527
2026-08-01 09:15:00,78.963,28.419,1.706,1.5295
2026-08-01 09:16:00,99.969,11.982,1.403,0.6849
2026-08-01 09:17:00,113.728,23.649,1.069,0.6040
2026-08-01 09:18:00,79.822,22.577,1.537,1.4496
2026-08-01 09:19:00,85.516,26.181,1.723,1.3815
2026-08-01 09:20:00,108.870,23.028,1.299,0.8335
2026-08-01 09:21:00,118.591,25.388,1.141,0.5482
2026-08-01 09:22:00,95.037,18.425,1.912,1.2741
2026-08-01 09:23:00,77.195,19.774,1.864,1.4981
2026-08-01 09:24:00,70.697,24.033,1.618,1.5204
2026-08-01 09:25:00,81.483,21.369,1.787,1.4341
2026-08-01 09:26:00,76.591,20.231,1.969,1.7612
2026-08-01 09:27:00,103.883,14.111,1.569,0.8220
2026-08-01 09:28:00,76.092,15.162,1.244,1.0282
2026-08-01 09:29:00,95.316,17.170,1.639,1.1356
2026-08-01 09:30:00,104.713,10.186,1.915,0.7725
2026-08-01 09:31:00,99.056,18.347,1.690,1.1213
2026-08-01 09:32:00,79.989,10.055,1.026,0.7543
2026-08-01 09:33:00,110.206,21.300,1.917,1.1817
2026-08-01 09:34:00,105.770,24.081,1.754,1.0875
2026-08-01 09:35:00,106.949,21.243,1.402,0.8095
2026-08-01 09:36:00,76.553,23.870,1.987,1.7794
2026-08-01 09:37:00,76.188,10.000,1.722,1.3756
2026-08-01 09:38:00,116.378,11.189,1.825,0.6253
2026-08-01 09:39:00,89.879,23.969,1.943,1.4601
2026-08-01 09:40:00,85.047,26.058,1.040,0.8501
2026-08-01 09:41:00,94.429,24.354,1.774,1.2814
2026-08-01 09:42:00,103.143,23.260,1.386,0.9527
2026-08-01 09:43:00,117.781,24.148,1.869,0.9384
2026-08-01 09:44:00,84.322,24.792,1.879,1.6251
2026-08-01 09:45:00,116.240,24.488,1.829,1.0281
2026-08-01 09:46:00,71.243,24.760,1.779,1.6700
2026-08-01 09:47:00,97.760,11.480,1.794,0.8562
2026-08-01 09:48:00,101.699,11.265,1.297,0.5573
2026-08-01 09:49:00,75.295,17.222,1.407,1.2640
2026-08-01 09:50:00,77.017,20.552,1.115,0.9105
2026-08-01 09:51:00,90.956,25.252,1.831,1.3583
2026-08-01 09:52:00,118.312,16.694,1.646,0.7114
2026-08-01 09:53:00,99.802,15.502,1.613,0.9976
2026-08-01 09:54:00,116.651,25.629,1.246,0.6914
2026-08-01 09:55:00,110.218,14.987,1.615,0.8250
2026-08-01 09:56:00,93.369,26.417,1.455,1.1535
2026-08-01 09:57:00,109.238,13.543,1.995,0.9708
2026-08-01 09:58:00,70.892,17.189,1.863,1.7024
2026-08-01 09:59:00,75.457,18.022,1.526,1.2938
2026-08-01 10:00:00,111.471,15.990,1.808,0.8959
2026-08-01 10:01:00,109.841,10.067,1.165,0.5130
2026-08-01 10:02:00,81.632,14.710,1.101,0.8833
2026-08-01 10:03:00,96.538,16.753,1.631,1.0229
2026-08-01 10:04:00,100.301,16.272,1.727,1.0581
2026-08-01 10:05:00,113.387,25.711,1.053,0.6529
2026-08-01 10:06:00,100.155,10.947,1.201,0.5900
2026-08-01 10:07:00,90.629,17.779,1.537,1.0882
2026-08-01 10:08:00,88.709,10.750,1.063,0.5963
2026-08-01 10:09:00,91.294,28.613,1.424,0.9772
2026-08-01 10:10:00,102.597,25.804,1.482,1.0112
2026-08-01 10:11:00,113.375,29.643,1.922,1.2163
2026-08-01 10:12:00,92.695,28.203,1.316,0.9807
2026-08-01 10:13:00,82.392,16.316,1.169,0.9984
2026-08-01 10:14:00,81.833,23.832,1.008,0.7880
2026-08-01 10:15:00,107.301,16.131,1.122,0.6624
2026-08-01 10:16:00,110.828,27.764,1.751,1.1416
2026-08-01 10:17:00,75.264,18.215,1.445,1.3602
2026-08-01 10:18:00,73.328,17.518,1.199,1.0611
2026-08-01 10:19:00,99.722,28.281,1.933,1.3453
2026-08-01 10:20:00,77.309,26.735,1.788,1.6425
2026-08-01 10:21:00,111.233,29.328,1.114,0.8223
2026-08-01 10:22:00,85.517,11.330,1.269,0.7622
2026-08-01 10:23:00,77.194,14.867,1.849,1.5348
2026-08-01 10:24:00,116.049,16.017,1.692,0.8156
2026-08-01 10:25:00,78.277,18.487,1.946,1.6085
2026-08-01 10:26:00,84.236,19.463,1.076,0.7138
2026-08-01 10:27:00,77.681,15.829,1.775,1.4293
2026-08-01 10:28:00,75.775,25.809,1.076,0.9205
2026-08-01 10:29:00,71.057,14.465,1.337,1.2260
2026-08-01 10:30:00,72.770,23.930,1.751,1.5610
2026-08-01 10:31:00,78.732,27.035,1.711,1.4764
2026-08-01 10:32:00,72.669,22.074,1.002,0.8541
2026-08-01 10:33:00,99.557,17.083,1.202,0.7827
2026-08-01 10:34:00,104.036,13.758,1.779,0.9571
2026-08-01 10:35:00,89.682,12.687,1.126,0.7038
2026-08-01 10:36:00,85.900,24.883,1.326,1.1087
2026-08-01 10:37:00,95.226,19.383,1.184,0.8007
2026-08-01 10:38:00,113.750,10.926,1.111,0.2679
2026-08-01 10:39:00,112.557,29.677,1.837,1.2097
2026-08-01 10:40:00,72.174,23.426,1.061,0.9849
2026-08-01 10:41:00,79.075,26.884,1.536,1.3559
2026-08-01 10:42:00,81.837,18.764,1.693,1.3452
2026-08-01 10:43:00,82.469,29.109,1.058,0.9110
2026-08-01 10:44:00,98.562,13.991,1.633,1.0258
2026-08-01 10:45:00,90.813,13.703,1.334,0.8595
2026-08-01 10:46:00,72.463,27.807,1.834,1.7189
2026-08-01 10:47:00,88.681,27.834,1.798,1.3883
2026-08-01 10:48:00,96.188,19.980,1.794,1.2695
2026-08-01 10:49:00,75.084,12.516,1.399,1.1182
2026-08-01 10:50:00,111.673,16.104,1.823,0.9652
2026-08-01 10:51:00,72.598,25.083,1.630,1.4116
2026-08-01 10:52:00,116.242,26.920,1.379,0.7490
2026-08-01 10:53:00,74.956,16.953,1.081,0.8281
2026-08-01 10:54:00,112.179,11.225,1.067,0.3953
2026-08-01 10:55:00,115.133,23.315,1.251,0.7086
2026-08-01 10:56:00,118.979,24.790,1.300,0.5829
2026-08-01 10:57:00,110.101,18.480,1.928,1.0275
2026-08-01 10:58:00,108.974,21.662,2.000,1.2307
2026-08-01 10:59:00,102.124,29.747,1.144,0.8294
2026-08-01 11:00:00,108.950,14.900,1.943,0.9856
2026-08-01 11:01:00,76.728,21.460,1.707,1.3811
2026-08-01 11:02:00,96.803,22.219,1.499,1.0705
2026-08-01 11:03:00,95.711,20.982,1.955,1.4022
2026-08-01 11:04:00,112.879,27.383,1.714,1.0440
2026-08-01 11:05:00,93.140,22.100,1.594,1.2029
2026-08-01 11:06:00,89.254,20.158,1.210,0.9061
2026-08-01 11:07:00,101.978,12.460,1.244,0.6364
2026-08-01 11:08:00,83.323,24.064,1.912,1.5361
2026-08-01 11:09:00,76.988,12.642,1.215,1.0117
2026-08-01 11:10:00,93.894,10.531,1.032,0.5241
2026-08-01 11:11:00,90.844,19.771,1.266,0.9561
2026-08-01 11:12:00,81.628,21.449,1.481,1.3399
2026-08-01 11:13:00,88.376,29.981,1.382,1.2188
2026-08-01 11:14:00,88.320,24.247,1.936,1.5850
2026-08-01 11:15:00,86.375,26.972,1.419,1.1956
2026-08-01 11:16:00,88.973,16.928,1.889,1.3792
2026-08-01 11:17:00,104.287,20.178,1.595,0.9451
2026-08-01 11:18:00,84.844,29.485,1.524,1.2856
2026-08-01 11:19:00,117.443,18.348,1.160,0.5815
2026-08-01 11:20:00,115.817,26.146,1.271,0.7549
2026-08-01 11:21:00,94.046,20.520,1.867,1.4045
2026-08-01 11:22:00,86.418,14.479,1.780,1.3665
2026-08-01 11:23:00,96.772,21.608,1.447,1.0224
2026-08-01 11:24:00,112.428,14.361,1.909,0.8903
2026-08-01 11:25:00,102.629,10.061,1.819,0.7465
2026-08-01 11:26:00,110.220,14.718,1.112,0.6790
2026-08-01 11:27:00,96.636,13.863,1.606,0.9641
2026-08-01 11:28:00,101.646,17.418,1.799,1.1515
2026-08-01 11:29:00,84.408,27.772,1.808,1.5095
2026-08-01 11:30:00,106.745,17.757,1.091,0.5971
2026-08-01 11:31:00,80.120,26.904,1.225,1.0504
2026-08-01 11:32:00,104.740,21.112,1.413,0.8193
2026-08-01 11:33:00,113.036,10.152,1.252,0.3149
2026-08-01 11:34:00,76.605,13.775,1.109,0.9586
2026-08-01 11:35:00,100.719,28.626,1.629,1.2297
2026-08-01 11:36:00,74.755,22.083,1.507,1.2665
2026-08-01 11:37:00,106.286,28.591,1.155,0.8196
2026-08-01 11:38:00,74.225,16.202,1.586,1.3860
2026-08-01 11:39:00,116.797,24.331,1.062,0.5407
2026-08-01 11:40:00,76.870,25.441,1.383,1.2425
2026-08-01 11:41:00,117.944,29.514,1.793,1.1082
2026-08-01 11:42:00,110.044,10.364,1.890,0.6776
2026-08-01 11:43:00,99.684,29.045,1.245,0.9612
2026-08-01 11:44:00,109.131,17.832,1.860,1.0406
2026-08-01 11:45:00,109.756,26.760,1.892,1.3222
2026-08-01 11:46:00,117.301,20.894,1.607,0.8454
2026-08-01 11:47:00,82.669,21.293,1.982,1.6074
2026-08-01 11:48:00,99.504,17.188,1.246,0.7759
2026-08-01 11:49:00,74.752,26.569,1.069,1.0784
2026-08-01 11:50:00,100.808,15.280,1.843,1.0769
2026-08-01 11:51:00,78.565,19.845,1.491,1.2891
2026-08-01 11:52:00,98.248,21.203,1.346,0.9222
2026-08-01 11:53:00,98.622,24.850,1.055,0.8298
2026-08-01 11:54:00,93.299,19.433,1.065,0.8372
2026-08-01 11:55:00,96.132,23.606,1.091,0.8016
2026-08-01 11:56:00,108.196,19.706,1.184,0.6644
2026-08-01 11:57:00,109.962,23.186,1.970,1.1635
2026-08-01 11:58:00,94.608,23.483,1.281,0.8550
2026-08-01 11:59:00,99.980,24.189,1.817,1.2914
2026-08-01 12:00:00,116.562,26.466,1.019,0.5872
2026-08-01 12:01:00,75.987,20.814,1.322,1.0917
2026-08-01 12:02:00,75.855,13.866,1.906,1.4311
2026-08-01 12:03:00,74.385,23.593,1.185,1.0616
2026-08-01 12:04:00,102.893,11.542,1.284,0.6678
2026-08-01 12:05:00,90.930,14.379,1.827,1.2695
2026-08-01 12:06:00,108.716,25.843,1.121,0.6595
2026-08-01 12:07:00,103.562,18.701,1.053,0.6725
2026-08-01 12:08:00,86.682,19.961,1.966,1.5297
2026-08-01 12:09:00,114.918,29.748,1.405,0.9161
2026-08-01 12:10:00,108.127,14.703,1.658,0.7873
2026-08-01 12:11:00,83.527,10.391,1.127,0.8422
2026-08-01 12:12:00,88.210,12.227,1.220,0.9128
2026-08-01 12:13:00,85.722,14.890,1.460,1.0851
2026-08-01 12:14:00,77.881,24.518,1.675,1.4835
2026-08-01 12:15:00,77.389,25.516,1.293,1.1827
2026-08-01 12:16:00,116.806,21.310,1.885,0.9093
2026-08-01 12:17:00,91.895,15.101,1.781,1.1877
2026-08-01 12:18:00,89.166,20.435,1.552,1.2021
2026-08-01 12:19:00,106.484,10.299,1.459,0.7615
2026-08-01 12:20:00,97.650,23.636,1.620,1.0997
2026-08-01 12:21:00,116.807,22.286,1.732,1.0097
2026-08-01 12:22:00,109.015,10.436,1.135,0.4606
2026-08-01 12:23:00,93.968,26.340,1.853,1.4322
2026-08-01 12:24:00,88.818,25.269,1.489,1.2734
2026-08-01 12:25:00,119.332,16.164,1.935,0.9378
2026-08-01 12:26:00,105.888,22.708,1.956,1.2738
2026-08-01 12:27:00,117.560,22.030,1.031,0.6018
2026-08-01 12:28:00,75.924,12.864,1.384,1.0470
2026-08-01 12:29:00,112.527,13.865,1.526,0.6560
2026-08-01 12:30:00,101.854,23.664,1.540,0.9746
2026-08-01 12:31:00,76.096,28.671,1.822,1.6022
2026-08-01 12:32:00,99.413,21.526,1.141,0.8190
2026-08-01 12:33:00,104.305,21.356,1.622,1.0504
2026-08-01 12:34:00,70.615,22.934,1.943,1.8535
2026-08-01 12:35:00,92.716,18.812,1.997,1.5637
2026-08-01 12:36:00,111.270,11.083,1.010,0.4042
2026-08-01 12:37:00,84.768,17.930,1.973,1.4987
2026-08-01 12:38:00,92.927,28.005,1.122,0.9589
2026-08-01 12:39:00,92.116,26.099,1.537,1.2851
2026-08-01 12:40:00,85.096,28.548,1.246,1.0833
2026-08-01 12:41:00,115.922,13.057,1.606,0.6892
2026-08-01 12:42:00,109.065,20.119,1.037,0.6326
2026-08-01 12:43:00,75.529,21.695,1.238,1.0185
2026-08-01 12:44:00,119.852,14.199,1.301,0.4287
2026-08-01 12:45:00,113.960,14.019,1.916,0.8381
2026-08-01 12:46:00,84.195,25.641,1.584,1.3171
2026-08-01 12:47:00,111.845,23.437,1.708,1.0205
2026-08-01 12:48:00,75.321,22.944,1.676,1.4631
2026-08-01 12:49:00,119.955,15.340,1.392,0.4593
2026-08-01 12:50:00,103.284,20.135,1.014,0.5182
2026-08-01 12:51:00,102.506,10.461,1.107,0.5801
2026-08-01 12:52:00,74.522,12.599,1.459,1.1329
2026-08-01 12:53:00,114.852,20.365,1.941,1.0018
2026-08-01 12:54:00,71.450,16.193,1.249,1.0405
2026-08-01 12:55:00,82.041,29.313,1.698,1.4204
2026-08-01 12:56:00,77.151,19.430,1.827,1.4914
2026-08-01 12:57:00,108.838,11.671,1.907,0.9103
2026-08-01 12:58:00,79.910,10.357,1.293,0.9186
2026-08-01 12:59:00,115.532,24.505,1.931,1.1242
2026-08-01 13:00:00,102.813,13.430,1.608,0.9195
2026-08-01 13:01:00,71.808,13.756,1.508,1.2812
2026-08-01 13:02:00,70.271,18.476,1.778,1.6160
2026-08-01 13:03:00,72.583,15.281,1.239,1.0484
2026-08-01 13:04:00,100.296,22.332,1.813,1.3283
2026-08-01 13:05:00,110.074,19.714,1.650,0.9785
2026-08-01 13:06:00,81.928,12.229,1.799,1.3799
2026-08-01 13:07:00,112.470,25.695,1.856,1.0641
2026-08-01 13:08:00,72.862,18.517,1.617,1.4188
2026-08-01 13:09:00,110.048,22.217,1.037,0.5042
2026-08-01 13:10:00,116.390,10.079,1.298,0.5229
2026-08-01 13:11:00,108.605,22.528,1.878,1.1083
2026-08-01 13:12:00,104.906,15.657,1.627,0.8807
2026-08-01 13:13:00,111.899,19.887,1.890,0.9516
2026-08-01 13:14:00,72.008,15.954,1.385,1.1813
2026-08-01 13:15:00,80.089,29.925,1.505,1.3098
2026-08-01 13:16:00,76.246,14.617,1.863,1.6249
2026-08-01 13:17:00,95.227,28.257,1.762,1.4200
2026-08-01 13:18:00,107.259,28.359,1.378,0.8997
2026-08-01 13:19:00,101.501,18.420,1.023,0.5473
2026-08-01 13:20:00,112.557,16.080,1.880,0.7792
2026-08-01 13:21:00,77.761,17.621,1.786,1.4213
2026-08-01 13:22:00,106.731,29.787,1.449,0.9214
2026-08-01 13:23:00,79.652,22.376,1.546,1.3350
2026-08-01 13:24:00,83.538,20.896,1.204,0.9722
2026-08-01 13:25:00,105.495,10.718,1.412,0.6487
2026-08-01 13:26:00,119.010,26.957,1.163,0.5852
2026-08-01 13:27:00,100.577,11.676,1.211,0.6533
2026-08-01 13:28:00,72.725,10.939,1.846,1.3838
2026-08-01 13:29:00,100.815,15.497,1.362,0.8109
2026-08-01 13:30:00,72.118,19.516,1.815,1.6422
2026-08-01 13:31:00,114.207,27.906,1.474,0.8724
2026-08-01 13:32:00,105.479,25.802,1.071,0.7452
2026-08-01 13:33:00,78.656,13.953,1.362,0.9535
2026-08-01 13:34:00,74.586,17.442,1.158,0.8608
2026-08-01 13:35:00,79.177,25.605,1.694,1.4912
2026-08-01 13:36:00,119.001,20.542,1.911,0.9887
2026-08-01 13:37:00,92.928,13.490,1.763,1.1278
2026-08-01 13:38:00,109.204,17.921,1.778,1.1039
2026-08-01 13:39:00,101.820,22.519,1.862,1.1707
2026-08-01 13:40:00,98.621,29.465,1.777,1.3050
2026-08-01 13:41:00,77.257,23.236,1.569,1.3707
2026-08-01 13:42:00,117.301,10.324,1.714,0.6029
