timestamp,tempo_min,F_alimentacao_L_min,CA_mol_L
2026-08-01 00:57:00,57,60.0,-0.1886
2026-08-01 00:58:00,58,60.0,-0.2418
2026-08-01 00:59:00,59,60.0,-0.2502
2026-08-01 01:00:00,60,60.0,-0.3007
2026-08-01 01:01:00,61,60.0,-0.3088
2026-08-01 01:02:00,62,60.0,-0.3233
2026-08-01 01:03:00,63,60.0,-0.3366
2026-08-01 01:04:00,64,60.0,-0.3511
2026-08-01 01:05:00,65,60.0,-0.3644
2026-08-01 01:06:00,66,60.0,-0.3886
2026-08-01 01:07:00,67,60.0,-0.4012
2026-08-01 01:08:00,68,60.0,-0.3984
2026-08-01 01:09:00,69,60.0,-0.4182
2026-08-01 01:10:00,70,60.0,-0.4374
2026-08-01 01:11:00,71,60.0,-0.4435
2026-08-01 01:12:00,72,60.0,-0.4482
2026-08-01 01:13:00,73,60.0,-0.4401
2026-08-01 01:14:00,74,60.0,-0.4491
2026-08-01 01:15:00,75,60.0,-0.4486
2026-08-01 01:16:00,76,60.0,-0.4642
2026-08-01 01:17:00,77,60.0,-0.4624
2026-08-01 01:18:00,78,60.0,-0.4613
2026-08-01 01:19:00,79,60.0,-0.4739
2026-08-01 01:20:00,80,60.0,-0.4692
2026-08-01 01:21:00,81,60.0,-0.4830
2026-08-01 01:22:00,82,60.0,-0.4823
2026-08-01 01:23:00,83,60.0,-0.4847
2026-08-01 01:24:00,84,60.0,-0.4947
2026-08-01 01:25:00,85,60.0,-0.4796
2026-08-01 01:26:00,86,60.0,-0.4907
2026-08-01 01:27:00,87,60.0,-0.4873
2026-08-01 01:28:00,88,60.0,-0.4839
2026-08-01 01:29:00,89,60.0,-0.4854
2026-08-01 01:30:00,90,60.0,-0.4842
2026-08-01 01:31:00,91,60.0,-0.4927
2026-08-01 01:32:00,92,60.0,-0.4968
2026-08-01 01:33:00,93,60.0,-0.4941
2026-08-01 01:34:00,94,60.0,-0.5109
2026-08-01 01:35:00,95,60.0,-0.5091
2026-08-01 01:36:00,96,60.0,-0.5084
2026-08-01 01:37:00,97,60.0,-0.5056
2026-08-01 01:38:00,98,60.0,-0.4921
2026-08-01 01:39:00,99,60.0,-0.5055
2026-08-01 01:40:00,100,60.0,-0.5006
2026-08-01 01:41:00,101,60.0,-0.4841
2026-08-01 01:42:00,102,60.0,-0.5010
2026-08-01 01:43:00,103,60.0,-0.4903
2026-08-01 01:44:00,104,60.0,-0.5072
2026-08-01 01:45:00,105,60.0,-0.5002
2026-08-01 01:46:00,106,60.0,-0.5078
2026-08-01 01:47:00,107,60.0,-0.5019
2026-08-01 01:48:00,108,60.0,-0.4902
2026-08-01 01:49:00,109,60.0,-0.5160
2026-08-01 01:50:00,110,60.0,-0.4945
2026-08-01 01:51:00,111,60.0,-0.4966
2026-08-01 01:52:00,112,60.0,-0.5050
2026-08-01 01:53:00,113,60.0,-0.5136
2026-08-01 01:54:00,114,60.0,-0.4985
2026-08-01 01:55:00,115,60.0,-0.5046
2026-08-01 01:56:00,116,60.0,-0.4971
2026-08-01 01:57:00,117,60.0,-0.4992
2026-08-01 01:58:00,118,60.0,-0.4835
2026-08-01 01:59:00,119,60.0,-0.5020
2026-08-01 02:00:00,120,60.0,-0.5098
2026-08-01 02:01:00,121,60.0,-0.4979
2026-08-01 02:02:00,122,60.0,-0.4975
2026-08-01 02:03:00,123,60.0,-0.4861
2026-08-01 02:04:00,124,60.0,-0.4914
2026-08-01 02:05:00,125,60.0,-0.4962
2026-08-01 02:06:00,126,60.0,-0.4852
2026-08-01 02:07:00,127,60.0,-0.5117
2026-08-01 02:08:00,128,60.0,-0.5062
2026-08-01 02:09:00,129,60.0,-0.5091
2026-08-01 02:10:00,130,60.0,-0.5038
2026-08-01 02:11:00,131,60.0,-0.5136
2026-08-01 02:12:00,132,60.0,-0.4935
2026-08-01 02:13:00,133,60.0,-0.5021
2026-08-01 02:14:00,134,60.0,-0.5146
2026-08-01 02:15:00,135,60.0,-0.5101
2026-08-01 02:16:00,136,60.0,-0.4968
2026-08-01 02:17:00,137,60.0,-0.4916
2026-08-01 02:18:00,138,60.0,-0.4800
2026-08-01 02:19:00,139,60.0,-0.4708
2026-08-01 02:20:00,140,60.0,-0.4958
2026-08-01 02:21:00,141,60.0,-0.5099
2026-08-01 02:22:00,142,60.0,-0.5213
2026-08-01 02:23:00,143,60.0,-0.4973
2026-08-01 02:24:00,144,60.0,-0.5081
2026-08-01 02:25:00,145,60.0,-0.5041
2026-08-01 02:26:00,146,60.0,-0.5061
2026-08-01 02:27:00,147,60.0,-0.5014
2026-08-01 02:28:00,148,60.0,-0.4893
2026-08-01 02:29:00,149,60.0,-0.4984
2026-08-01 02:30:00,150,60.0,-0.5016
2026-08-01 02:31:00,151,60.0,-0.5103
2026-08-01 02:32:00,152,60.0,-0.5167
2026-08-01 02:33:00,153,60.0,-0.5049
2026-08-01 02:34:00,154,60.0,-0.5005
2026-08-01 02:35:00,155,60.0,-0.4823
2026-08-01 02:36:00,156,60.0,-0.4987
2026-08-01 02:37:00,157,60.0,-0.4902
2026-08-01 02:38:00,158,60.0,-0.5050
2026-08-01 02:39:00,159,60.0,-0.5118
2026-08-01 02:40:00,160,60.0,-0.5096
2026-08-01 02:41:00,161,60.0,-0.5072
2026-08-01 02:42:00,162,60.0,-0.4787
2026-08-01 02:43:00,163,60.0,-0.5082
2026-08-01 02:44:00,164,60.0,-0.4916
2026-08-01 02:45:00,165,60.0,-0.5090
2026-08-01 02:46:00,166,60.0,-0.4907
2026-08-01 02:47:00,167,60.0,-0.4961
2026-08-01 02:48:00,168,60.0,-0.5016
2026-08-01 02:49:00,169,60.0,-0.5004
2026-08-01 02:50:00,170,60.0,-0.5065
2026-08-01 02:51:00,171,60.0,-0.4955
2026-08-01 02:52:00,172,60.0,-0.5045
2026-08-01 02:53:00,173,60.0,-0.5123
2026-08-01 02:54:00,174,60.0,-0.5128
2026-08-01 02:55:00,175,60.0,-0.4983
2026-08-01 02:56:00,176,60.0,-0.4842
2026-08-01 02:57:00,177,60.0,-0.4984
2026-08-01 02:58:00,178,60.0,-0.5012
2026-08-01 02:59:00,179,60.0,-0.4971
2026-08-01 03:00:00,180,60.0,-0.4869
2026-08-01 03:01:00,181,60.0,-0.4978
2026-08-01 03:02:00,182,60.0,-0.5041
2026-08-01 03:03:00,183,60.0,-0.4889
2026-08-01 03:04:00,184,60.0,-0.4957
2026-08-01 03:05:00,185,60.0,-0.4846
2026-08-01 03:06:00,186,60.0,-0.4982
2026-08-01 03:07:00,187,60.0,-0.5122
2026-08-01 03:08:00,188,60.0,-0.5137
2026-08-01 03:09:00,189,60.0,-0.4835
2026-08-01 03:10:00,190,60.0,-0.4828
2026-08-01 03:11:00,191,60.0,-0.5018
2026-08-01 03:12:00,192,60.0,-0.5038
2026-08-01 03:13:00,193,60.0,-0.4854
2026-08-01 03:14:00,194,60.0,-0.5111
2026-08-01 03:15:00,195,60.0,-0.5089
2026-08-01 03:16:00,196,60.0,-0.4936
2026-08-01 03:17:00,197,60.0,-0.5039
2026-08-01 03:18:00,198,60.0,-0.5001
2026-08-01 03:19:00,199,60.0,-0.5016
2026-08-01 03:20:00,200,60.0,-0.4966
2026-08-01 03:21:00,201,60.0,-0.4859
2026-08-01 03:22:00,202,60.0,-0.4991
2026-08-01 03:23:00,203,60.0,-0.4936
2026-08-01 03:24:00,204,60.0,-0.5205
2026-08-01 03:25:00,205,60.0,-0.5005
2026-08-01 03:26:00,206,60.0,-0.5084
2026-08-01 03:27:00,207,60.0,-0.5122
2026-08-01 03:28:00,208,60.0,-0.5088
2026-08-01 03:29:00,209,60.0,-0.5033
2026-08-01 03:30:00,210,60.0,-0.4908
2026-08-01 03:31:00,211,60.0,-0.5133
2026-08-01 03:32:00,212,60.0,-0.4997
2026-08-01 03:33:00,213,60.0,-0.5048
2026-08-01 03:34:00,214,60.0,-0.5033
2026-08-01 03:35:00,215,60.0,-0.4900
2026-08-01 03:36:00,216,60.0,-0.4946
2026-08-01 03:37:00,217,60.0,-0.4866
2026-08-01 03:38:00,218,60.0,-0.5015
2026-08-01 03:39:00,219,60.0,-0.5070
2026-08-01 03:40:00,220,60.0,-0.5022
2026-08-01 03:41:00,221,60.0,-0.4976
2026-08-01 03:42:00,222,60.0,-0.4982
2026-08-01 03:43:00,223,60.0,-0.5108
2026-08-01 03:44:00,224,60.0,-0.4991
2026-08-01 03:45:00,225,60.0,-0.4977
2026-08-01 03:46:00,226,60.0,-0.4748
2026-08-01 03:47:00,227,60.0,-0.4812
2026-08-01 03:48:00,228,60.0,-0.5085
2026-08-01 03:49:00,229,60.0,-0.5029
2026-08-01 03:50:00,230,60.0,-0.5146
2026-08-01 03:51:00,231,60.0,-0.5059
2026-08-01 03:52:00,232,60.0,-0.4968
2026-08-01 03:53:00,233,60.0,-0.4879
2026-08-01 03:54:00,234,60.0,-0.5073
2026-08-01 03:55:00,235,60.0,-0.5065
2026-08-01 03:56:00,236,60.0,-0.5215
2026-08-01 03:57:00,237,60.0,-0.5016
2026-08-01 03:58:00,238,60.0,-0.5106
2026-08-01 03:59:00,239,60.0,-0.5053
2026-08-01 04:00:00,240,60.0,-0.5088
2026-08-01 04:01:00,241,60.0,-0.5009
2026-08-01 04:02:00,242,60.0,-0.5176
2026-08-01 04:03:00,243,60.0,-0.5147
2026-08-01 04:04:00,244,60.0,-0.4787
2026-08-01 04:05:00,245,60.0,-0.5129
2026-08-01 04:06:00,246,60.0,-0.5110
2026-08-01 04:07:00,247,60.0,-0.4816
2026-08-01 04:08:00,248,60.0,-0.4709
2026-08-01 04:09:00,249,60.0,-0.5117
2026-08-01 04:10:00,250,60.0,-0.5037
2026-08-01 04:11:00,251,60.0,-0.4966
2026-08-01 04:12:00,252,60.0,-0.4827
2026-08-01 04:13:00,253,60.0,-0.5099
2026-08-01 04:14:00,254,60.0,-0.5025
2026-08-01 04:15:00,255,60.0,-0.4922
2026-08-01 04:16:00,256,60.0,-0.4957
2026-08-01 04:17:00,257,60.0,-0.5038
2026-08-01 04:18:00,258,60.0,-0.5013
2026-08-01 04:19:00,259,60.0,-0.5137
2026-08-01 04:20:00,260,60.0,-0.5024
2026-08-01 04:21:00,261,60.0,-0.5027
2026-08-01 04:22:00,262,60.0,-0.4977
2026-08-01 04:23:00,263,60.0,-0.5056
2026-08-01 04:24:00,264,60.0,-0.4953
2026-08-01 04:25:00,265,60.0,-0.4899
2026-08-01 04:26:00,266,60.0,-0.4984
2026-08-01 04:27:00,267,60.0,-0.4965
2026-08-01 04:28:00,268,60.0,-0.4995
2026-08-01 04:29:00,269,60.0,-0.5000
2026-08-01 04:30:00,270,60.0,-0.5072
2026-08-01 04:31:00,271,60.0,-0.4968
2026-08-01 04:32:00,272,60.0,-0.5010
2026-08-01 04:33:00,273,60.0,-0.4791
2026-08-01 04:34:00,274,60.0,-0.4843
2026-08-01 04:35:00,275,60.0,-0.4961
2026-08-01 04:36:00,276,60.0,-0.5076
2026-08-01 04:37:00,277,60.0,-0.5111
2026-08-01 04:38:00,278,60.0,-0.4881
2026-08-01 04:39:00,279,60.0,-0.4974
2026-08-01 04:40:00,280,60.0,-0.4952
2026-08-01 04:41:00,281,60.0,-0.5174
2026-08-01 04:42:00,282,60.0,-0.4907
2026-08-01 04:43:00,283,60.0,-0.4955
2026-08-01 04:44:00,284,60.0,-0.5111
2026-08-01 04:45:00,285,60.0,-0.5047
2026-08-01 04:46:00,286,60.0,-0.4974
2026-08-01 04:47:00,287,60.0,-0.4995
2026-08-01 04:48:00,288,60.0,-0.5029
2026-08-01 04:49:00,289,60.0,-0.5010
2026-08-01 04:50:00,290,60.0,-0.5025
2026-08-01 04:51:00,291,60.0,-0.4985
2026-08-01 04:52:00,292,60.0,-0.4853
2026-08-01 04:53:00,293,60.0,-0.5257
2026-08-01 04:54:00,294,60.0,-0.5024
2026-08-01 04:55:00,295,60.0,-0.4982
2026-08-01 04:56:00,296,60.0,-0.4970
2026-08-01 04:57:00,297,60.0,-0.5037
2026-08-01 04:58:00,298,60.0,-0.5176
2026-08-01 04:59:00,299,60.0,-0.4967
